Latitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
24,7.58,7.17,8.40,8.60,9.30,9.19,9.41,9.05,8.31,8.10,7.43,7.46
26,7.49,7.12,8.40,8.64,9.37,9.30,9.49,9.10,8.32,8.06,7.36,7.35
28,7.40,7.02,8.39,8.68,9.46,9.38,9.58,9.16,8.32,8.02,7.27,7.27
30,7.30,7.03,8.38,8.72,9.53,9.49,9.67,9.22,8.34,7.99,7.19,7.14
32,7.20,6.97,8.37,8.72,9.63,9.60,9.77,9.28,8.34,7.93,7.11,7.05
34,7.10,6.91,8.36,8.80,9.72,9.70,9.88,9.33,8.36,7.90,7.02,6.92
36,6.99,6.86,8.35,8.85,9.81,9.83,9.99,9.40,8.36,7.85,6.92,6.79
38,6.87,6.79,8.34,8.90,9.92,9.95,10.10,9.47,8.38,7.80,6.82,6.66
40,6.73,6.73,8.30,8.92,9.99,10.08,10.34,9.56,8.41,7.78,6.73,6.53
42,6.60,6.66,8.28,8.97,10.10,10.21,10.37,9.64,8.42,7.73,6.63,6.39
44,6.45,6.59,8.25,9.04,10.22,10.38,10.50,9.73,8.43,7.67,6.51,6.23
46,6.30,6.50,8.24,9.09,10.37,10.54,10.66,9.82,8.44,7.61,6.38,6.05
48,6.13,6.42,8.22,9.15,10.50,10.72,10.83,9.92,8.45,7.56,6.24,5.86
50,5.98,6.32,8.25,9.25,10.69,10.93,10.99,10.00,8.44,7.43,6.07,5.65
